"用户ID","特征","清洁效率","耗材","对比","时间"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:剩余40%","优于65%同面积用户（清洁频率更高）","2025-01"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:83%\n日均清扫:43㎡\n漏扫区域:沙发底部+床底+阳台角落","主刷寿命:剩余50天\nHEPA滤网:剩余30%","优于60%同面积用户（清洁频率持续略降）","2025-08"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:86%\n避障失败:4次/周（电线+拖鞋+小凳子）","边刷磨损:重度-\n尘盒清理:每1天","拖地功能使用率低于同类35%","2025-08"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:90%\n地毯增压使用:13次/月","胶刷更换:已更换\n尘盒容量:每日清理2次","毛发处理效率前22%","2025-08"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:10次/月\n自动回充成功率:85%","主刷缠绕:严重++\n滤网更换:已更换","防缠绕主刷已更换+清洁效率暂未提升","2025-08"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:97%\n定时清扫未使用","电池衰减:27%\n水箱未激活","语音控制功能需调试+重新教学","2025-08"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:5次/周\n玩具避障率:70%","边刷更换:1次/月\n集尘袋消耗:1.5个/月","机械臂配件已更换+跨楼层导航待深度优化","2025-08"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:88%\n日均清扫:33㎡\n沿边清扫漏扫增多","滤网寿命:剩余70天\n尘盒清理:每3天","清洁效率优于65%小户型用户","2025-08"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:84%\n餐桌区域漏扫:2次/天\n避障成功率:88%","主刷磨损:中度-\n水箱加水:每日3次","大理石地面清洁效果低于同类18%","2025-08"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:83%\n自动回充成功率:90%","胶刷缠绕:重度-\n滤网更换:剩余20天","养宠家庭中清洁效率处于下游水平","2025-08"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:80%\n手动辅助清扫:4次/天\n定时清扫使用率:50%","电池衰减:17%\n边刷寿命:剩余35天","大户型中操作便捷性低于同类25%","2025-08"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:84%\n日均清扫:42㎡\n漏扫区域:床底+阳台角落","主刷寿命:剩余44天\nHEPA滤网:剩余25%","优于62%同面积用户","2025-08"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:85%\n避障失败:4次/周","边刷磨损:重度-\n尘盒清理:每1天","拖地功能使用率低于同类8%","2025-08"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:88%\n地毯增压使用:12次/月","胶刷更换:已更换\n尘盒容量:每日清理2次","毛发处理效率前22%","2025-08"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:9次/月\n自动回充成功率:84%","主刷缠绕:严重++\n滤网更换:已更换","防缠绕主刷已更换+清洁效率暂未提升","2025-08"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:96%\n定时清扫未使用","电池衰减:25%\n水箱未激活","语音控制功能需调试+重新教学","2025-08"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层失败:6次/周\n玩具避障率:68%","边刷更换:1次/月\n集尘袋消耗:1.6个/月","机械臂配件已更换+跨楼层导航待深度优化","2025-08"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:87%\n日均清扫:31㎡\n沿边清扫漏扫增多","滤网寿命:剩余66天\n尘盒清理:每3天","清洁效率优于64%小户型用户","2025-08"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:83%\n餐桌区域漏扫:2次/天\n避障成功率:87%","主刷磨损:中度-\n水箱加水:每日3次","大理石地面清洁效果低于同类16%","2025-08"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:82%\n自动回充成功率:89%","胶刷缠绕:重度-\n滤网更换:剩余16天","养宠家庭中清洁效率处于下游水平","2025-08"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:79%\n手动辅助清扫:5次/天\n定时清扫使用率:48%","电池衰减:16%\n边刷寿命:剩余30天","大户型中操作便捷性低于同类23%","2025-08"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:84%\n日均清扫:44㎡\n漏扫区域:沙发底部+床底","主刷寿命:剩余45天\nHEPA滤网:剩余25%","优于63%同面积用户（清洁频率小幅回升）","2025-09"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:87%\n避障失败:3次/周（电线+拖鞋）","边刷磨损:中度\n尘盒清理:每2天","拖地功能使用率低于同类32%+建议整理杂物","2025-09"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:91%\n地毯增压使用:15次/月","胶刷寿命:剩余45天\n尘盒容量:每日清理1次","毛发处理效率前18%","2025-09"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:88%","主刷缠绕:中度+\n滤网寿命:剩余60天","防缠绕主刷生效+清洁效率提升8%","2025-09"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:90%\n定时清扫使用率:4次/周","电池衰减:28%\n水箱首次激活:使用2次","语音控制功能调试完成+操作教学中","2025-09"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:3次/周\n玩具避障率:75%","边刷寿命:剩余60天\n集尘袋消耗:1.2个/月","跨楼层导航优化中+清洁效率小幅回升","2025-09"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:89%\n日均清扫:35㎡\n沿边清扫漏扫减少","滤网寿命:剩余65天\n尘盒清理:每4天","清洁效率优于70%小户型用户","2025-09"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:86%\n餐桌区域漏扫:1次/天\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每日2次","大理石地面清洁效果低于同类15%","2025-09"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:86%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中清洁效率回升至中等水平","2025-09"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:18%\n边刷寿命:剩余30天","大户型中操作便捷性回升至低于同类20%","2025-09"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:43㎡\n漏扫区域:床底","主刷寿命:剩余40天\nHEPA滤网:剩余20%","优于65%同面积用户","2025-09"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/周","边刷磨损:中度\n尘盒清理:每2天","拖地功能使用率低于同类5%","2025-09"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:90%\n地毯增压使用:14次/月","胶刷寿命:剩余40天\n尘盒容量:每日清理1次","毛发处理效率前18%","2025-09"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:88%","主刷缠绕:中度+\n滤网寿命:剩余55天","防缠绕主刷生效+清洁效率提升5%","2025-09"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:88%\n定时清扫使用率:4次/周","电池衰减:24%\n水箱首次激活:使用2次","语音控制功能调试完成+操作教学中","2025-09"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层失败:4次/周\n玩具避障率:73%","边刷寿命:剩余55天\n集尘袋消耗:1.3个/月","跨楼层导航优化中+清洁效率小幅回升","2025-09"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:90%\n日均清扫:33㎡\n沿边清扫漏扫减少","滤网寿命:剩余62天\n尘盒清理:每4天","清洁效率优于69%小户型用户","2025-09"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:87%\n餐桌区域漏扫:1次/天\n避障成功率:91%","主刷磨损:轻度\n水箱加水:每日2次","大理石地面清洁效果低于同类12%","2025-09"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:85%\n自动回充成功率:91%","胶刷缠绕:中度\n滤网更换:剩余28天","养宠家庭中清洁效率回升至中等水平","2025-09"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:81%\n手动辅助清扫:3次/天\n定时清扫使用率:58%","电池衰减:17%\n边刷寿命:剩余26天","大户型中操作便捷性回升至低于同类18%","2025-09"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:86%\n日均清扫:46㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余40天\nHEPA滤网:剩余20%","优于68%同面积用户（清洁频率持续回升）","2025-10"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:89%\n避障失败:1次/周（电线缠绕）","边刷寿命:剩余50天\n尘盒清理:每3天","拖地功能使用率低于同类25%","2025-10"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:93%\n地毯增压使用:17次/月","胶刷寿命:剩余40天\n尘盒清理:每2天","毛发处理效率前12%","2025-10"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:90%","主刷缠绕:轻度\n滤网寿命:剩余55天","清洁效率优于同类养宠家庭20%","2025-10"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:80%\n定时清扫使用率:6次/周","电池衰减:29%\n水箱使用率:60%","语音控制功能使用熟练度提升+操作顺畅","2025-10"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:2次/周\n玩具避障率:80%","边刷寿命:剩余55天\n集尘袋消耗:1.0个/月","跨楼层导航优化完成+清洁效率提升10%","2025-10"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:37㎡\n沿边清扫无死角","滤网寿命:剩余60天\n尘盒清理:每5天","清洁效率优于75%小户型用户","2025-10"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:88%\n避障成功率:93%","主刷寿命:剩余65天\n水箱加水:每日1次","大理石地面清洁效果低于同类10%","2025-10"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:89%\n自动回充成功率:94%","胶刷缠绕:轻度\n滤网寿命:剩余45天","养宠家庭中清洁效率处于中上等水平","2025-10"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:85%\n手动辅助清扫:2次/天\n定时清扫使用率:70%","电池衰减:19%\n边刷寿命:剩余25天","大户型中操作便捷性低于同类15%","2025-10"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:87%\n日均清扫:45㎡\n漏扫区域:床底","主刷寿命:剩余35天\nHEPA滤网:剩余15%","优于70%同面积用户","2025-10"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:90%\n避障失败:0次/周","边刷寿命:剩余55天\n尘盒清理:每4天","拖地功能使用率优于同类8%","2025-10"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:93%\n地毯增压使用:17次/月","胶刷寿命:剩余35天\n尘盒清理:每2天","毛发处理效率前12%","2025-10"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:91%","主刷缠绕:轻度\n滤网寿命:剩余50天","清洁效率优于同类养宠家庭22%","2025-10"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:78%\n定时清扫使用率:6次/周","电池衰减:26%\n水箱使用率:65%","语音控制功能使用熟练度提升+操作顺畅","2025-10"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层失败:1次/周\n玩具避障率:85%","边刷寿命:剩余65天\n集尘袋消耗:0.8个/月","跨楼层导航优化完成+清洁效率提升12%","2025-10"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:92%\n日均清扫:35㎡\n沿边清扫无死角","滤网寿命:剩余58天\n尘盒清理:每5天","清洁效率优于78%小户型用户","2025-10"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:89%\n避障成功率:94%","主刷寿命:剩余70天\n水箱加水:每日1次","大理石地面清洁效果低于同类8%","2025-10"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:89%\n自动回充成功率:94%","胶刷缠绕:轻度\n滤网寿命:剩余42天","养宠家庭中清洁效率处于中上等水平","2025-10"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:84%\n手动辅助清扫:2次/天\n定时清扫使用率:68%","电池衰减:18%\n边刷寿命:剩余20天","大户型中操作便捷性低于同类13%","2025-10"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:88%\n日均清扫:48㎡\n无漏扫区域（沙发底部垫高）","主刷寿命:剩余35天\nHEPA滤网:剩余15%","优于75%同面积用户（清洁无死角）","2025-11"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:90%\n避障失败:0次/周","边刷寿命:剩余45天\n尘盒清理:每4天","拖地功能使用率与同类平均水平持平","2025-11"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:94%\n地毯增压使用:18次/月","胶刷寿命:剩余35天\n尘盒清理:每2天","毛发处理效率前10%","2025-11"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:92%","主刷缠绕:无\n滤网寿命:剩余50天","清洁效率优于同类养宠家庭30%","2025-11"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:70%\n定时清扫使用率:7次/周","电池衰减:30%\n水箱使用率:80%","语音控制功能使用熟练+清洁效率提升20%","2025-11"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:0次/周\n玩具避障率:88%","边刷寿命:剩余50天\n集尘袋消耗:0.8个/月","清洁效率优于85%大户型多层用户","2025-11"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:93%\n日均清扫:38㎡\n无漏扫区域","滤网寿命:剩余55天\n尘盒清理:每5天","清洁效率优于80%小户型用户","2025-11"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:90%\n避障成功率:95%","主刷寿命:剩余60天\n水箱加水:每日1次","大理石地面清洁效果与同类持平","2025-11"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:91%\n自动回充成功率:95%","胶刷缠绕:无\n滤网寿命:剩余40天","养宠家庭中清洁效率前20%","2025-11"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:87%\n手动辅助清扫:1次/天\n定时清扫使用率:75%","电池衰减:20%\n边刷寿命:剩余20天","大户型中操作便捷性与同类持平","2025-11"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:89%\n日均清扫:47㎡\n无漏扫区域","主刷寿命:剩余30天\nHEPA滤网:剩余10%","优于78%同面积用户","2025-11"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:92%\n避障成功率:100%","边刷寿命:剩余50天\n尘盒清理:每5天","拖地功能使用率优于同类15%","2025-11"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:94%\n地毯增压使用:19次/月","胶刷寿命:剩余30天\n尘盒清理:每2天","毛发处理效率前8%","2025-11"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:93%","主刷缠绕:无\n滤网寿命:剩余45天","清洁效率优于同类养宠家庭30%","2025-11"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:68%\n定时清扫使用率:7次/周","电池衰减:28%\n水箱使用率:85%","语音控制功能使用熟练+清洁效率提升22%","2025-11"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层失败:0次/周\n玩具避障率:90%","边刷寿命:剩余60天\n集尘袋消耗:0.6个/月","清洁效率优于88%大户型多层用户","2025-11"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:94%\n日均清扫:37㎡\n无漏扫区域","滤网寿命:剩余53天\n尘盒清理:每5天","清洁效率优于82%小户型用户","2025-11"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:91%\n避障成功率:96%","主刷寿命:剩余68天\n水箱加水:每日1次","大理石地面清洁效果与同类持平","2025-11"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:91%\n自动回充成功率:95%","胶刷缠绕:无\n滤网寿命:剩余38天","养宠家庭中清洁效率前18%","2025-11"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:86%\n手动辅助清扫:1次/天\n定时清扫使用率:73%","电池衰减:19%\n边刷寿命:剩余15天","大户型中操作便捷性与同类持平","2025-11"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:90%\n日均清扫:50㎡\n无漏扫区域","主刷寿命:剩余30天\nHEPA滤网:剩余10%","优于85%同面积用户（清洁效率满分）","2025-12"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:92%\n避障成功率:100%","边刷寿命:剩余40天\n尘盒清理:每5天","拖地功能使用率优于同类15%","2025-12"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:95%\n地毯增压使用:20次/月","胶刷寿命:剩余30天\n尘盒清理:每2天","毛发处理效率前5%","2025-12"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:95%","主刷寿命:剩余40天\n滤网寿命:剩余45天","清洁效率优于同类养宠家庭35%","2025-12"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:60%\n定时清扫使用率:7次/周","电池衰减:30%\n水箱使用率:90%","语音控制功能深度使用+清洁效率提升30%","2025-12"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层成功率:100%\n玩具避障率:95%","边刷寿命:剩余45天\n集尘袋消耗:0.7个/月","清洁效率优于95%大户型多层用户","2025-12"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:95%\n日均清扫:40㎡\n无漏扫区域","滤网寿命:剩余50天\n尘盒清理:每5天","清洁效率优于90%小户型用户","2025-12"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:92%\n避障成功率:98%","主刷寿命:剩余55天\n水箱加水:每日1次","大理石地面清洁效果优于同类20%","2025-12"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:93%\n自动回充成功率:98%","胶刷寿命:剩余35天\n滤网寿命:剩余35天","养宠家庭中清洁效率前10%","2025-12"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:90%\n手动辅助清扫:0次/天\n定时清扫使用率:90%","电池衰减:20%\n边刷寿命:剩余15天","大户型中操作便捷性优于同类20%","2025-12"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:91%\n日均清扫:49㎡\n无漏扫区域","主刷寿命:剩余25天\nHEPA滤网:剩余5%","优于88%同面积用户","2025-12"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:93%\n避障成功率:100%","边刷寿命:剩余45天\n尘盒清理:每5天","拖地功能使用率优于同类18%","2025-12"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:95%\n地毯增压使用:20次/月","胶刷寿命:剩余25天\n尘盒清理:每2天","毛发处理效率前5%","2025-12"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:4次/月\n自动回充成功率:96%","主刷寿命:剩余38天\n滤网寿命:剩余40天","清洁效率优于同类养宠家庭38%","2025-12"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:55%\n定时清扫使用率:7次/周","电池衰减:30%\n水箱使用率:95%","语音控制功能深度使用+清洁效率提升35%","2025-12"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层成功率:100%\n玩具避障率:98%","边刷寿命:剩余55天\n集尘袋消耗:0.5个/月","清洁效率优于98%大户型多层用户","2025-12"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:96%\n日均清扫:38㎡\n无漏扫区域","滤网寿命:剩余48天\n尘盒清理:每5天","清洁效率优于92%小户型用户","2025-12"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:93%\n避障成功率:99%","主刷寿命:剩余65天\n水箱加水:每日1次","大理石地面清洁效果优于同类22%","2025-12"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:94%\n自动回充成功率:98%","胶刷寿命:剩余30天\n滤网寿命:剩余32天","养宠家庭中清洁效率前8%","2025-12"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:89%\n手动辅助清扫:0次/天\n定时清扫使用率:85%","电池衰减:20%\n边刷寿命:剩余10天","大户型中操作便捷性优于同类25%","2025-12"
